chr	start	end	strand	manual_assessment	previously_annotated	recount3_score	intropolis_score	repeat_overlap	antisense_overlap	intron_length	prediction_recount3	prediction_intropolis
10	120354698	120354763	-1	No	no	6	0	No_overlap	no	66	ACCEPTED	REJECTED
5	93563461	93580462	-1	Yes	no	6	0	No_overlap	no	17002	ACCEPTED	REJECTED
6	31835456	31836423	1	No	no	6	0	Type_I_Transposons/SINE	no	968	REJECTED	REJECTED
17	21442119	21574239	-1	Yes	yes	7	16	Satellite_repeats	no	132121	ACCEPTED	ACCEPTED
2	88861547	88978461	-1	No	no	7	0	No_overlap	no	116915	ACCEPTED	REJECTED
4	188160056	188160215	1	No	no	7	0	Tandem_repeats	no	160	REJECTED	REJECTED
5	127940525	127966162	-1	Yes	no	7	0	Type_I_Transposons/SINE,LTRs	no	25638	REJECTED	REJECTED
5	122705470	122722213	-1	Yes	yes	7	0	LTRs	no	16744	ACCEPTED	REJECTED
11	18245518	18245930	1	No	no	7	0	No_overlap	yes	413	REJECTED	REJECTED
6	12514312	12514358	1	No	no	7	0	No_overlap	no	47	REJECTED	REJECTED
2	112643294	112645429	-1	Yes	no	7	7	No_overlap	no	2136	REJECTED	REJECTED
17	43356551	43361527	-1	No	no	7	0	LTRs	no	4977	ACCEPTED	REJECTED
2	88860617	88915093	-1	No	no	7	0	No_overlap	no	54477	ACCEPTED	REJECTED
2	214960595	214961809	1	No	no	8	0	Type_I_Transposons/LINE	no	1215	ACCEPTED	REJECTED
16	21517942	21519054	1	No	no	8	0	Type_I_Transposons/SINE	no	1113	REJECTED	REJECTED
12	6748410	6753004	1	Yes	no	8	0	No_overlap	yes	4595	REJECTED	REJECTED
2	88857684	89176318	-1	No	no	8	0	No_overlap	no	318635	ACCEPTED	REJECTED
5	141850535	141850678	1	Yes	no	8	0	Tandem_repeats	no	144	REJECTED	REJECTED
19	58184324	58185385	-1	No	no	8	0	Type_I_Transposons/SINE	yes	1062	REJECTED	REJECTED
5	38041292	38151264	1	Yes	no	8	8	LTRs	no	109973	ACCEPTED	ACCEPTED
13	19227433	19235356	-1	Yes	no	8	0	No_overlap	no	7924	ACCEPTED	REJECTED
19	27901621	27918687	1	Yes	no	8	0	Type_I_Transposons/LINE	no	17067	ACCEPTED	REJECTED
6	12514156	12514237	-1	No	no	8	0	No_overlap	yes	82	REJECTED	REJECTED
11	60657258	60658726	1	Yes	no	9	45	LTRs	no	1469	REJECTED	REJECTED
19	15864571	15864705	-1	No	no	9	0	Type_I_Transposons/SINE	no	135	REJECTED	REJECTED
1	63199002	63315948	-1	Yes	no	9	0	Type_I_Transposons/SINE	no	116947	REJECTED	REJECTED
1	16014708	16017940	1	No	no	9	0	Type_I_Transposons/LINE	yes	3233	REJECTED	REJECTED
3	137350112	137477156	-1	Yes	no	9	0	No_overlap	no	127045	ACCEPTED	REJECTED
X	115886963	115968960	-1	Yes	yes	9	1370	No_overlap	no	81998	ACCEPTED	ACCEPTED
22	22881388	22906334	-1	No	no	9	0	No_overlap	yes	24947	REJECTED	REJECTED
X	85212873	85219049	1	No	yes	9	0	No_overlap	no	6177	ACCEPTED	REJECTED
14	22304558	22482294	1	No	no	9	0	No_overlap	no	177737	ACCEPTED	REJECTED
19	29412967	29526751	-1	Yes	no	9	0	LTRs	no	113785	ACCEPTED	REJECTED
1	150058334	150066957	-1	No	no	10	0	Type_I_Transposons/SINE	no	8624	REJECTED	REJECTED
4	9064331	9142385	-1	Yes	no	10	26	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	78055	REJECTED	REJECTED
11	62852682	62853058	-1	No	no	10	0	No_overlap	no	377	ACCEPTED	REJECTED
22	25457395	25459415	1	Yes	no	10	0	No_overlap	no	2021	ACCEPTED	REJECTED
6	134343360	134464740	1	Yes	yes	10	4	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	121381	REJECTED	REJECTED
6	12514156	12514286	-1	No	no	10	0	No_overlap	yes	131	REJECTED	REJECTED
11	61967509	61967585	1	No	no	10	0	No_overlap	yes	77	REJECTED	REJECTED
21	41716238	41716374	1	Yes	no	10	0	No_overlap	no	137	REJECTED	REJECTED
5	4775882	4781612	-1	Yes	no	10	0	No_overlap	no	5731	ACCEPTED	REJECTED
Y	8789303	8794860	-1	Yes	yes	10	0	Type_I_Transposons/LINE	no	5558	ACCEPTED	REJECTED
2	39454370	39474526	1	No	no	11	0	Type_II_Transposons	no	20157	ACCEPTED	REJECTED
19	12643501	12643597	1	No	no	11	0	No_overlap	yes	97	REJECTED	REJECTED
4	188991055	188995423	-1	Yes	no	11	0	No_overlap	no	4369	ACCEPTED	REJECTED
2	88861272	88947316	-1	No	no	11	0	No_overlap	no	86045	ACCEPTED	REJECTED
16	21796286	21819402	-1	No	no	11	0	Type_I_Transposons/SINE	no	23117	REJECTED	REJECTED
10	96750333	96750396	-1	No	no	11	0	No_overlap	yes	64	REJECTED	REJECTED
3	34159417	34323347	1	Yes	yes	11	0	No_overlap	no	163931	ACCEPTED	REJECTED
12	104265635	104265674	-1	No	no	11	0	No_overlap	yes	40	REJECTED	REJECTED
12	128087857	128117913	-1	Yes	no	11	0	No_overlap	no	30057	ACCEPTED	REJECTED
7	73013278	73016271	1	Yes	no	11	0	LTRs	no	2994	ACCEPTED	REJECTED
17	7453801	7455106	-1	Yes	no	12	0	Type_I_Transposons/SINE	no	1306	REJECTED	REJECTED
9	2506541	2521898	-1	No	no	12	0	Type_I_Transposons/LINE	no	15358	ACCEPTED	REJECTED
6	12514243	12514436	-1	No	no	12	0	No_overlap	yes	194	REJECTED	REJECTED
7	66547204	66573475	-1	Yes	no	12	0	Type_I_Transposons/SINE	no	26272	REJECTED	REJECTED
22	22823265	22899613	-1	No	no	12	0	No_overlap	yes	76349	REJECTED	REJECTED
16	48623604	48740687	1	Yes	no	12	19	LTRs	no	117084	ACCEPTED	ACCEPTED
1	240743079	240743482	-1	Yes	no	12	3	No_overlap	no	404	REJECTED	REJECTED
4	181835584	181844715	-1	Yes	no	12	0	No_overlap	no	9132	ACCEPTED	REJECTED
1	177399568	177573727	-1	Yes	yes	12	15	No_overlap	no	174160	ACCEPTED	ACCEPTED
13	112197409	112199912	1	Yes	no	12	0	Type_I_Transposons/SINE	no	2504	REJECTED	REJECTED
8	57194342	57195226	1	Yes	no	13	0	No_overlap	no	885	ACCEPTED	REJECTED
12	104265412	104265674	-1	No	no	13	0	No_overlap	yes	263	REJECTED	REJECTED
11	78141703	78155913	1	No	no	13	0	Type_I_Transposons/SINE	no	14211	REJECTED	REJECTED
8	80303527	80351134	1	Yes	no	13	0	LTRs	no	47608	ACCEPTED	REJECTED
15	83952803	84080044	-1	Yes	no	13	29	Type_I_Transposons/SINE	no	127242	REJECTED	REJECTED
9	129285703	129287370	-1	No	no	13	0	Type_I_Transposons/SINE	yes	1668	REJECTED	REJECTED
8	73315606	73341163	-1	Yes	yes	13	0	No_overlap	no	25558	REJECTED	REJECTED
16	863777	865492	1	No	no	13	0	Type_I_Transposons/SINE	no	1716	REJECTED	REJECTED
2	89213520	89319716	-1	No	no	13	0	No_overlap	no	106197	ACCEPTED	REJECTED
2	82479972	82491574	-1	Yes	yes	13	0	LTRs	no	11603	ACCEPTED	REJECTED
19	23827668	23827767	-1	No	no	14	0	No_overlap	yes	100	REJECTED	REJECTED
12	104265730	104265776	-1	No	no	14	0	No_overlap	yes	47	REJECTED	REJECTED
2	88861935	88978490	-1	No	no	14	0	No_overlap	no	116556	ACCEPTED	REJECTED
2	88861547	89221691	-1	No	no	14	0	No_overlap	no	360145	ACCEPTED	REJECTED
14	74735604	74736373	-1	No	no	14	149	Type_I_Transposons/SINE	yes	770	REJECTED	REJECTED
1	16656796	16667014	-1	No	no	14	10	No_overlap	yes	10219	REJECTED	REJECTED
2	16229267	16298840	1	Yes	yes	14	0	Type_I_Transposons/LINE	no	69574	ACCEPTED	REJECTED
6	42977534	42978538	1	No	no	14	4	Type_I_Transposons/SINE	yes	1005	REJECTED	REJECTED
2	88860937	89159761	-1	No	no	14	0	No_overlap	no	298825	ACCEPTED	REJECTED
6	9041696	9046419	1	Yes	yes	14	0	Type_I_Transposons/LINE,LTRs	no	4724	ACCEPTED	REJECTED
12	118647955	118650558	-1	Yes	no	15	0	Type_I_Transposons/SINE,LTRs	no	2604	REJECTED	REJECTED
17	49252919	49316844	1	Yes	no	15	2	Type_I_Transposons/LINE	yes	63926	REJECTED	REJECTED
2	88861937	89142589	-1	No	no	15	0	No_overlap	no	280653	ACCEPTED	REJECTED
9	42538293	42568784	-1	Yes	no	15	0	Type_I_Transposons/LINE	no	30492	ACCEPTED	REJECTED
15	24566737	24570031	1	Yes	no	15	0	Type_I_Transposons/SINE	no	3295	REJECTED	REJECTED
10	96750549	96750682	-1	No	no	15	0	No_overlap	yes	134	REJECTED	REJECTED
2	104412670	104472322	-1	Yes	no	15	0	Type_I_Transposons/LINE	no	59653	ACCEPTED	REJECTED
10	105819209	105820158	-1	Yes	no	15	0	No_overlap	no	950	ACCEPTED	REJECTED
19	38647754	38729902	-1	No	no	15	0	No_overlap	yes	82149	REJECTED	REJECTED
Y	9373625	9375128	-1	Yes	yes	15	0	Type_I_Transposons/SINE	no	1504	REJECTED	REJECTED
22	35838562	35838621	1	No	no	16	0	No_overlap	no	60	ACCEPTED	REJECTED
14	58794913	58794971	-1	No	no	16	0	No_overlap	yes	59	REJECTED	REJECTED
6	97446265	97612167	1	Yes	no	16	4	Type_II_Transposons,Type_I_Transposons/LINE	no	165903	ACCEPTED	ACCEPTED
15	22517880	22523041	1	Yes	no	16	0	Type_I_Transposons/SINE	no	5162	REJECTED	REJECTED
14	97968364	97969272	-1	No	no	16	0	Type_I_Transposons/SINE	no	909	REJECTED	REJECTED
18	56075295	56077043	1	Yes	no	16	0	No_overlap	no	1749	ACCEPTED	REJECTED
13	54940586	54941967	1	Yes	yes	16	0	LTRs	no	1382	ACCEPTED	REJECTED
20	21088031	21102272	-1	Yes	no	16	0	LTRs	no	14242	ACCEPTED	REJECTED
6	122730637	122781254	-1	Yes	no	16	0	Tandem_repeats	yes	50618	REJECTED	REJECTED
1	149201082	149240376	-1	No	no	16	0	No_overlap	no	39295	ACCEPTED	REJECTED
2	88861557	88931644	-1	No	no	17	0	No_overlap	no	70088	ACCEPTED	REJECTED
13	21872999	21875365	-1	Yes	no	17	0	No_overlap	no	2367	ACCEPTED	REJECTED
19	41500785	41500891	-1	No	no	17	4	No_overlap	no	107	ACCEPTED	ACCEPTED
3	3382651	3384234	-1	No	no	17	0	No_overlap	no	1584	ACCEPTED	REJECTED
15	28832461	28833282	1	No	no	17	0	No_overlap	no	822	ACCEPTED	REJECTED
7	38348539	38357698	-1	No	no	17	0	Type_I_Transposons/LINE	no	9160	ACCEPTED	REJECTED
2	88860617	89027184	-1	No	no	17	0	No_overlap	no	166568	ACCEPTED	REJECTED
7	38376247	38378192	1	Yes	no	17	0	Type_I_Transposons/SINE,Type_II_Transposons	no	1946	REJECTED	REJECTED
7	133034673	133035467	1	No	no	17	0	No_overlap	yes	795	REJECTED	REJECTED
7	5847919	5848563	1	Yes	no	17	0	Type_I_Transposons/SINE	no	645	REJECTED	REJECTED
2	89142677	89319722	-1	No	no	18	0	No_overlap	no	177046	ACCEPTED	REJECTED
16	33191753	33195284	-1	Yes	yes	18	0	No_overlap	no	3532	ACCEPTED	REJECTED
1	173864507	173865213	-1	No	no	18	0	No_overlap	no	707	ACCEPTED	REJECTED
20	47439010	47476623	-1	Yes	no	18	0	Type_I_Transposons/SINE	no	37614	REJECTED	REJECTED
15	96783527	96784152	1	Yes	no	18	476	No_overlap	no	626	REJECTED	REJECTED
2	194419466	194559998	1	Yes	no	18	17	LTRs	no	140533	ACCEPTED	ACCEPTED
8	135969424	136011995	1	Yes	yes	18	2	Type_II_Transposons	no	42572	ACCEPTED	ACCEPTED
14	105707167	105708358	-1	No	no	18	0	No_overlap	no	1192	ACCEPTED	REJECTED
19	16032458	16034479	1	Yes	no	18	2	Satellite_repeats	no	2022	ACCEPTED	ACCEPTED
1	146486775	146617028	1	Yes	no	18	0	No_overlap	no	130254	ACCEPTED	REJECTED
13	61960796	62025383	-1	Yes	no	19	0	No_overlap	no	64588	ACCEPTED	REJECTED
5	168616665	168616825	1	No	no	19	0	No_overlap	no	161	ACCEPTED	REJECTED
7	32723608	32726355	-1	No	no	19	0	No_overlap	no	2748	ACCEPTED	REJECTED
4	38494099	38523102	-1	Yes	yes	19	0	No_overlap	no	29004	ACCEPTED	REJECTED
13	113879319	113881347	-1	Yes	no	19	0	No_overlap	yes	2029	REJECTED	REJECTED
7	5527824	5530560	1	No	no	19	0	No_overlap	yes	2737	REJECTED	REJECTED
9	82434148	82453637	1	Yes	no	19	0	No_overlap	no	19490	ACCEPTED	REJECTED
19	12643422	12643589	1	No	no	19	0	No_overlap	yes	168	REJECTED	REJECTED
20	38446946	38447465	1	Yes	no	19	0	No_overlap	no	520	ACCEPTED	REJECTED
15	95326638	95501507	1	Yes	no	19	10	No_overlap	no	174870	ACCEPTED	ACCEPTED
10	3054394	3068003	-1	Yes	no	20	0	LTRs	no	13610	ACCEPTED	REJECTED
3	135356362	135358103	-1	Yes	no	20	0	No_overlap	no	1742	ACCEPTED	REJECTED
18	75070416	75070482	-1	Yes	no	20	2	No_overlap	no	67	ACCEPTED	ACCEPTED
7	20435	20498	1	Yes	no	20	0	Tandem_repeats	no	64	REJECTED	REJECTED
14	71116217	71169686	-1	Yes	no	20	0	No_overlap	no	53470	ACCEPTED	REJECTED
11	58518997	58522345	1	Yes	no	20	0	Type_I_Transposons/LINE,LTRs	no	3349	ACCEPTED	REJECTED
21	9548996	9574833	1	Yes	no	20	0	Type_I_Transposons/SINE	no	25838	REJECTED	REJECTED
12	113763125	113767684	1	Yes	no	20	0	No_overlap	no	4560	ACCEPTED	REJECTED
16	14816805	14822107	-1	Yes	no	20	0	Type_I_Transposons/SINE	no	5303	REJECTED	REJECTED
3	111861644	111861907	-1	Yes	no	20	5	Type_I_Transposons/SINE	no	264	REJECTED	REJECTED
1	51518484	51523836	1	Yes	no	21	0	No_overlap	no	5353	ACCEPTED	REJECTED
9	68356379	68357602	-1	Yes	no	21	0	No_overlap	no	1224	ACCEPTED	REJECTED
1	101980604	102046966	1	Yes	no	21	0	LTRs	no	66363	ACCEPTED	REJECTED
6	150494652	150576656	-1	Yes	no	21	0	No_overlap	no	82005	ACCEPTED	REJECTED
8	132487911	132503349	1	Yes	no	21	0	LTRs	no	15439	ACCEPTED	REJECTED
2	223569314	223577002	-1	Yes	no	21	0	Type_I_Transposons/SINE	no	7689	REJECTED	REJECTED
16	76140404	76147559	-1	Yes	yes	21	0	LTRs	no	7156	ACCEPTED	REJECTED
5	133829060	133840818	1	Yes	no	21	0	No_overlap	no	11759	ACCEPTED	REJECTED
9	1393200	1429922	1	Yes	no	21	0	Type_I_Transposons/LINE	no	36723	ACCEPTED	REJECTED
10	99433941	99498967	1	Yes	no	21	0	No_overlap	no	65027	ACCEPTED	REJECTED
5	38825525	38845667	-1	Yes	no	22	0	No_overlap	no	20143	ACCEPTED	REJECTED
6	90346791	90439435	1	Yes	no	22	0	Type_II_Transposons	no	92645	ACCEPTED	REJECTED
16	11824617	11828698	-1	Yes	no	22	0	No_overlap	no	4082	ACCEPTED	REJECTED
2	136025384	136078147	1	Yes	no	22	0	No_overlap	no	52764	REJECTED	REJECTED
12	17505053	17695507	1	Yes	yes	22	9	Type_I_Transposons/LINE	no	190455	ACCEPTED	ACCEPTED
1	150294442	150308045	-1	No	no	22	0	No_overlap	yes	13604	REJECTED	REJECTED
5	1949262	1975609	1	Yes	no	22	0	LTRs	no	26348	ACCEPTED	REJECTED
X	40891680	40913328	-1	Yes	no	22	0	Type_I_Transposons/LINE	no	21649	ACCEPTED	REJECTED
18	79002447	79003726	-1	Yes	no	22	0	No_overlap	yes	1280	REJECTED	REJECTED
6	148001809	148018494	1	Yes	no	22	0	Type_I_Transposons/SINE	no	16686	REJECTED	REJECTED
X	69032053	69083323	-1	Yes	no	23	0	No_overlap	no	51271	ACCEPTED	REJECTED
1	149190532	149261639	-1	Yes	no	23	0	No_overlap	no	71108	ACCEPTED	REJECTED
12	74917655	74951892	1	Yes	no	23	0	Type_I_Transposons/SINE	no	34238	REJECTED	REJECTED
14	34921714	34982429	-1	Yes	yes	23	6	No_overlap	no	60716	ACCEPTED	ACCEPTED
18	4454838	4455831	1	Yes	no	23	0	No_overlap	no	994	ACCEPTED	REJECTED
3	125933697	125958592	-1	Yes	no	23	0	No_overlap	yes	24896	REJECTED	REJECTED
Y	26129325	26208075	-1	Yes	no	23	0	No_overlap	no	78751	ACCEPTED	REJECTED
2	85491324	85500032	-1	Yes	no	23	4	No_overlap	no	8709	ACCEPTED	ACCEPTED
15	84571231	84572214	1	Yes	no	23	0	No_overlap	no	984	ACCEPTED	REJECTED
1	212051521	212051684	-1	No	no	23	0	No_overlap	no	164	ACCEPTED	REJECTED
11	1995300	1996725	-1	No	no	24	0	No_overlap	no	1426	ACCEPTED	REJECTED
13	53432424	53619677	1	Yes	no	24	9	Type_I_Transposons/LINE	no	187254	ACCEPTED	ACCEPTED
8	25671687	25776561	1	Yes	no	24	0	Type_I_Transposons/LINE	no	104875	ACCEPTED	REJECTED
14	101558835	101559235	-1	Yes	no	24	0	No_overlap	no	401	ACCEPTED	REJECTED
2	81468149	81471755	1	Yes	no	24	0	Type_I_Transposons/SINE	no	3607	REJECTED	REJECTED
12	92146763	92224787	1	Yes	no	24	0	No_overlap	no	78025	ACCEPTED	REJECTED
17	2688684	2688755	1	No	no	24	0	No_overlap	no	72	ACCEPTED	REJECTED
11	18269288	18269714	-1	No	no	24	0	No_overlap	yes	427	REJECTED	REJECTED
17	63895690	63897477	1	Yes	no	24	0	No_overlap	no	1788	ACCEPTED	REJECTED
7	157054702	157058384	-1	Yes	no	24	0	No_overlap	no	3683	ACCEPTED	REJECTED
4	189842937	189884659	1	Yes	no	25	0	No_overlap	no	41723	ACCEPTED	REJECTED
12	32927267	32932835	1	Yes	no	25	0	LTRs	no	5569	ACCEPTED	REJECTED
19	51395116	51396885	1	Yes	no	25	0	No_overlap	yes	1770	REJECTED	REJECTED
16	35480306	35482079	-1	Yes	no	25	0	No_overlap	no	1774	ACCEPTED	REJECTED
2	67126391	67135034	-1	Yes	no	25	0	No_overlap	no	8644	ACCEPTED	REJECTED
X	140506463	140512470	1	Yes	no	25	0	No_overlap	no	6008	ACCEPTED	REJECTED
8	100900502	100904710	1	Yes	no	25	0	No_overlap	no	4209	ACCEPTED	REJECTED
4	153007947	153008932	-1	Yes	no	25	0	Type_I_Transposons/SINE	no	986	REJECTED	REJECTED
14	22919774	22922971	1	Yes	no	25	0	No_overlap	no	3198	ACCEPTED	REJECTED
16	35392816	35398217	-1	Yes	no	25	0	Type_I_Transposons/LINE	no	5402	ACCEPTED	REJECTED
3	57598374	57654623	1	Yes	no	26	0	No_overlap	no	56250	ACCEPTED	REJECTED
7	20205228	20216520	1	Yes	no	26	0	Type_I_Transposons/LINE	no	11293	ACCEPTED	REJECTED
12	127635422	127635943	-1	Yes	no	26	0	LTRs	no	522	ACCEPTED	REJECTED
19	23827436	23828003	-1	No	no	26	0	No_overlap	yes	568	REJECTED	REJECTED
19	35707194	35708894	-1	Yes	no	26	0	Type_I_Transposons/SINE	no	1701	REJECTED	REJECTED
13	53390654	53432147	1	Yes	no	26	39	No_overlap	no	41494	ACCEPTED	ACCEPTED
7	77119627	77122335	-1	Yes	no	26	0	No_overlap	no	2709	ACCEPTED	REJECTED
17	50213961	50214607	1	Yes	no	26	0	No_overlap	no	647	ACCEPTED	REJECTED
8	48424520	48473497	1	Yes	no	26	0	Type_I_Transposons/SINE	no	48978	REJECTED	REJECTED
2	5932922	5985424	1	Yes	no	26	0	No_overlap	no	52503	ACCEPTED	REJECTED
11	96511011	96554498	1	Yes	no	27	0	Type_I_Transposons/LINE	no	43488	ACCEPTED	REJECTED
6	28738573	28771490	1	Yes	no	27	0	LTRs	no	32918	ACCEPTED	REJECTED
5	36581917	36589393	-1	Yes	no	27	0	Type_II_Transposons,LTRs	no	7477	ACCEPTED	REJECTED
1	148353745	148362658	-1	Yes	no	27	0	No_overlap	no	8914	ACCEPTED	REJECTED
5	61311141	61321981	1	Yes	no	27	0	No_overlap	no	10841	ACCEPTED	REJECTED
6	139052751	139052934	1	Yes	no	27	7	Type_I_Transposons/LINE	no	184	ACCEPTED	ACCEPTED
1	165477116	165522973	-1	Yes	no	27	0	LTRs	no	45858	ACCEPTED	REJECTED
11	2589185	2591225	-1	No	no	27	0	No_overlap	no	2041	ACCEPTED	REJECTED
8	9399532	9413898	-1	Yes	no	27	0	Type_I_Transposons/SINE	no	14367	REJECTED	REJECTED
7	42512125	42554635	1	Yes	no	27	0	LTRs	no	42511	ACCEPTED	REJECTED
16	13609074	13702600	-1	Yes	no	28	5	LTRs	no	93527	ACCEPTED	ACCEPTED
4	182019096	182041663	1	Yes	no	28	7	No_overlap	no	22568	ACCEPTED	ACCEPTED
12	8390512	8393738	-1	Yes	no	28	0	Type_II_Transposons	no	3227	ACCEPTED	REJECTED
